iter	Passed	Remaining
148	1247	7124
149	1254	7108
150	1265	7113
151	1273	7107
152	1284	7108
153	1294	7111
154	1300	7090
155	1310	7091
156	1316	7071
157	1324	7060
158	1331	7044
159	1340	7035
160	1347	7021
161	1356	7014
162	1364	7006
163	1373	7000
164	1380	6984
165	1387	6972
166	1395	6959
167	1402	6946
168	1410	6934
169	1417	6922
170	1424	6905
171	1430	6886
172	1439	6880
173	1445	6862
174	1453	6850
175	1459	6833
176	1468	6826
177	1474	6810
178	1482	6798
179	1490	6788
180	1497	6776
181	1508	6777
182	1518	6780
183	1525	6767
184	1534	6760
185	1541	6745
186	1550	6739
187	1556	6724
188	1566	6723
189	1574	6710
190	1583	6706
191	1591	6697
192	1600	6693
193	1607	6678
194	1615	6670
195	1622	6655
196	1630	6645
197	1637	6632
198	1645	6622
199	1652	6608
200	1659	6595
201	1666	6585
202	1673	6569
203	1681	6560
204	1687	6543
205	1695	6534
206	1701	6518
207	1708	6504
208	1715	6493
209	1722	6480
210	1733	6481
211	1739	6466
212	1750	6467
213	1757	6454
214	1763	6438
215	1769	6423
216	1777	6414
217	1783	6398
218	1791	6390
219	1798	6375
220	1804	6362
221	1811	6349
222	1817	6334
223	1825	6324
224	1832	6311
225	1840	6302
226	1846	6286
227	1853	6275
228	1860	6264
229	1866	6249
230	1875	6243
231	1882	6230
232	1889	6221
233	1896	6207
234	1904	6200
235	1911	6187
236	1917	6174
237	1924	6161
238	1930	6148
239	1938	6137
240	1944	6122
241	1951	6113
242	1957	6099
243	1964	6085
244	1970	6073
245	1977	6061
246	1984	6051
247	1994	6047
248	2001	6036
249	2007	6022
250	2014	6009
251	2021	5999
252	2027	5986
253	2034	5976
254	2041	5964
255	2047	5951
256	2055	5941
257	2061	5929
258	2070	5923
259	2077	5912
260	2085	5905
261	2092	5892
262	2100	5884
263	2108	5877
264	2116	5870
265	2123	5858
266	2130	5848
267	2138	5841
268	2147	5835
269	2154	5825
270	2162	5817
271	2170	5809
272	2178	5800
273	2185	5790
274	2192	5779
275	2200	5772
276	2207	5761
277	2216	5755
278	2222	5744
279	2231	5739
280	2238	5728
281	2253	5736
282	2264	5738
283	2277	5743
284	2284	5732
285	2293	5725
286	2301	5717
287	2309	5709
288	2317	5702
289	2327	5699
290	2336	5692
291	2345	5687
292	2352	5677
293	2362	5672
294	2369	5662
295	2379	5658
296	2386	5648
297	2395	5644
298	2402	5633
299	2411	5626
300	2418	5617
301	2428	5613
302	2435	5603
303	2444	5596
304	2451	5586
305	2460	5579
306	2467	5569
307	2476	5564
308	2490	5568
309	2497	5558
310	2505	5549
311	2511	5539
312	2519	5529
313	2526	5519
314	2533	5509
315	2541	5500
316	2548	5490
317	2556	5481
318	2562	5470
319	2570	5462
320	2576	5450
321	2583	5439
322	2590	5429
323	2596	5417
324	2603	5407
325	2610	5396
326	2616	5385
327	2623	5374
328	2629	5363
329	2636	5353
330	2643	5342
331	2650	5332
332	2656	5321
333	2662	5309
334	2672	5304
335	2678	5292
336	2685	5284
337	2693	5274
338	2703	5270
339	2709	5260
340	2718	5254
341	2726	5245
342	2734	5237
343	2742	5228
344	2750	5221
345	2759	5216
346	2769	5212
347	2776	5202
348	2785	5195
349	2792	5185
350	2801	5180
351	2808	5170
352	2817	5164
353	2824	5154
354	2834	5150
355	2841	5140
356	2850	5133
357	2857	5123
358	2866	5117
359	2872	5107
360	2880	5099
361	2887	5089
362	2896	5082
363	2904	5074
364	2912	5067
365	2920	5058
366	2927	5049
367	2934	5040
368	2942	5031
369	2950	5023
370	2956	5013
371	2964	5005
372	2970	4994
373	2979	4986
374	2985	4976
375	2993	4968
376	2999	4957
377	3007	4948
378	3013	4938
379	3020	4927
380	3027	4918
381	3033	4907
382	3040	4898
383	3047	4887
384	3053	4877
385	3060	4868
386	3067	4858
387	3074	4849
388	3080	4839
389	3087	4829
390	3094	4820
391	3101	4809
392	3108	4800
393	3114	4790
394	3123	4783
395	3131	4776
396	3138	4767
397	3145	4758
398	3151	4747
399	3161	4741
400	3167	4731
401	3176	4724
402	3182	4714
403	3190	4706
404	3197	4696
405	3205	4690
406	3213	4681
407	3222	4675
408	3230	4668
409	3239	4662
410	3246	4651
411	3256	4647
412	3263	4638
